fold,feature_name,importance_mean_neg_brier_score,importance_std_neg_brier_score,importance_mean_roc_auc,importance_std_roc_auc,rank_neg_brier_score,n_repeats
0,q2,0.023281693855505995,0.0017109925263170465,0.08950911249166747,0.008603593314678337,1.0,30
0,x_qn25,0.013043988218198129,0.0014066611407172525,0.04287362445223965,0.004406047797014589,2.0,30
0,x_qn24,0.011603547414646902,0.0015410353350425946,0.0392814163087783,0.003920428889625539,3.0,30
0,raceeth,0.003180561152176282,0.0008652137638616241,0.011435494049765555,0.0027660600261772156,4.0,30
0,q3,0.0005014352287422946,0.00016722116196805814,0.0010880145668731634,0.0008503808029844238,5.0,30
0,q1,0.00020475877012754068,0.00023247992379054862,0.0013705414221551805,0.0020506884036542773,6.0,30
1,q2,0.021570196324796342,0.0018809492067651877,0.07461027649925113,0.005986761070896083,1.0,30
1,x_qn25,0.014450947034180721,0.001188836122021568,0.04117634159228126,0.003608792039495079,2.0,30
1,x_qn24,0.01359840199517931,0.0018599150825210522,0.04256597682925652,0.0055940813488382845,3.0,30
1,raceeth,0.0031954941456317676,0.0005798995229949637,0.013666559137889785,0.002692265446750196,4.0,30
1,q1,0.0010389974444810555,0.0003714213461854853,0.003965277359344684,0.0017129002401030274,5.0,30
1,q3,0.0001844133189913416,0.00021660215919544332,0.00034467960045209877,0.0009742046637795955,6.0,30
2,q2,0.02048683943271754,0.00183190654778168,0.06972949476094384,0.0064903042048112345,1.0,30
2,x_qn25,0.016749092417195452,0.0015487076537830126,0.05063533521310581,0.0043772070751763505,2.0,30
2,x_qn24,0.014098132122312796,0.0012486465521161108,0.040554232282106355,0.004257608455167398,3.0,30
2,raceeth,0.0033607616164026974,0.0006365782037353979,0.011624236521773346,0.00232742641217637,4.0,30
2,q1,0.00036393191860418226,0.0003798490663413739,0.000255794154670134,0.002015210080905008,5.0,30
2,q3,7.850762765276853e-05,0.0002534568067486196,0.0010735183948672677,0.0011007293688469935,6.0,30
3,q2,0.024406640234816934,0.002045380852278012,0.08828793009290513,0.005296451977319923,1.0,30
3,x_qn25,0.014341409230875306,0.0016010024650083793,0.04388706417883063,0.004258224547713737,2.0,30
3,x_qn24,0.013508205450974748,0.001551977472216435,0.044506126612607146,0.004090399876867528,3.0,30
3,raceeth,0.004257708059383127,0.0006699748826906351,0.013029311087583206,0.0034681565848213095,4.0,30
3,q1,0.00013241700004823221,0.000415749316870966,0.0016851412582452004,0.001375980259226665,5.0,30
3,q3,-7.695484935313449e-05,0.0002942172487172578,1.1135445132944473e-06,0.0009550963707016775,6.0,30
4,q2,0.0203243278595824,0.0011393551102827641,0.07076916276891927,0.006221060908423711,1.0,30
4,x_qn25,0.015991503134944483,0.001642828252004092,0.050232156952118,0.005319130934189981,2.0,30
4,x_qn24,0.012572065858722533,0.0014814630346160497,0.04061536109379311,0.005184181638509913,3.0,30
4,raceeth,0.0034370779823769517,0.0007252449505080129,0.01279427121654123,0.0034376105021701286,4.0,30
4,q1,0.0007658372552395441,0.00021648978180588603,0.0035755914321835597,0.001566002145372127,5.0,30
4,q3,0.0002962046861949443,0.00025550290319361843,0.0013502854431312753,0.0010965105805571225,6.0,30
