column,n_total,n_missing,missing_rate
__overall__,3055656,749936,0.245426
QN24,20103,201,0.009999
QN25,20103,205,0.010197
QN26,20103,240,0.011939
raceeth,20103,370,0.018405
q1,20103,98,0.004875
weight,20103,0,0.0
stratum,20103,0,0.0
psu,20103,0,0.0
orig_rec,20103,20103,1.0
QN34,20103,19580,0.973984
QN37,20103,17457,0.868378
QN45,20103,17077,0.849475
qndualbc,20103,16659,0.828682
QN62,20103,16614,0.826444
qnbcnone,20103,16614,0.826444
qniudimp,20103,16614,0.826444
qnothhpl,20103,16614,0.826444
QN60,20103,16526,0.822066
QN61,20103,16194,0.805551
QN40,20103,15766,0.784261
QN94,20103,14611,0.726807
QN11,20103,12034,0.598617
QN10,20103,11527,0.573397
QN105,20103,9520,0.473561
QN98,20103,9315,0.463364
QN107,20103,9308,0.463015
QN104,20103,9253,0.46028
qnillict,20103,9178,0.456549
QN106,20103,9157,0.455504
QN93,20103,8932,0.444312
QN103,20103,8926,0.444013
QN97,20103,8906,0.443018
QN13,20103,8729,0.434214
QN22,20103,8596,0.427598
QN16,20103,8451,0.420385
QN66,20103,8308,0.413272
QN95,20103,8194,0.407601
qnspdrk1,20103,8194,0.407601
