column,dtype_inferred,n_total,n_missing,missing_rate,n_unique,example_values,min,max,notes
site,string,20103,0,0.0,1,"[""XX""]",,,constant
raceeth,floating,20103,370,0.018405,8,"[""5"", ""8"", ""3"", ""7"", ""6""]",1.0,8.0,
q6orig,string,20103,269,0.013381,65,"[""505"", ""N N"", ""506"", ""601"", ""511""]",,,
q7orig,string,20103,684,0.034025,356,"[""180"", ""233"", ""165"", ""105"", ""125""]",,,
record,integer,20103,0,0.0,20103,"[""1"", ""2"", ""3"", ""4"", ""5""]",1,20386,unique_per_row;high_cardinality;possible_identifier
orig_rec,floating,20103,20103,1.0,0,[],,,all_missing
q1,floating,20103,98,0.004875,7,"[""3"", ""4"", ""5"", ""6"", ""7""]",1.0,7.0,
q2,floating,20103,158,0.00786,2,"[""1"", ""2""]",1.0,2.0,
q3,floating,20103,193,0.009601,5,"[""1"", ""3"", ""2"", ""4"", ""5""]",1.0,5.0,
q4,floating,20103,254,0.012635,2,"[""2"", ""1""]",1.0,2.0,
q5,string,20103,1389,0.069094,35,"[""  C"", ""    E"", "" BC"", ""A"", ""  C E""]",,,
q6,floating,20103,2289,0.113864,29,"[""1.65"", ""1.68"", ""1.85"", ""1.8"", ""1.83""]",1.32,2.03,
q7,floating,20103,2289,0.113864,265,"[""81.65"", ""74.84"", ""56.7"", ""72.58"", ""73.48""]",31.3,180.99,
QN8,floating,20103,5032,0.250311,2,"[""1"", ""2""]",1.0,2.0,
QN9,floating,20103,505,0.025121,2,"[""1"", ""2""]",1.0,2.0,
QN10,floating,20103,11527,0.573397,2,"[""2"", ""1""]",1.0,2.0,high_missingness
QN11,floating,20103,12034,0.598617,2,"[""1"", ""2""]",1.0,2.0,high_missingness
QN12,floating,20103,508,0.02527,2,"[""2"", ""1""]",1.0,2.0,
QN13,floating,20103,8729,0.434214,2,"[""2"", ""1""]",1.0,2.0,
QN14,floating,20103,1121,0.055763,2,"[""1"", ""2""]",1.0,2.0,
QN15,floating,20103,2129,0.105905,2,"[""2"", ""1""]",1.0,2.0,
QN16,floating,20103,8451,0.420385,2,"[""2"", ""1""]",1.0,2.0,
QN17,floating,20103,2643,0.131473,2,"[""2"", ""1""]",1.0,2.0,
QN18,floating,20103,5526,0.274884,2,"[""2"", ""1""]",1.0,2.0,
QN19,floating,20103,2801,0.139332,2,"[""2"", ""1""]",1.0,2.0,
QN20,floating,20103,4351,0.216435,2,"[""2"", ""1""]",1.0,2.0,
QN21,floating,20103,6662,0.331393,2,"[""2"", ""1""]",1.0,2.0,
QN22,floating,20103,8596,0.427598,2,"[""2"", ""1""]",1.0,2.0,
QN23,floating,20103,1817,0.090385,2,"[""2"", ""1""]",1.0,2.0,
QN24,floating,20103,201,0.009999,2,"[""2"", ""1""]",1.0,2.0,
QN25,floating,20103,205,0.010197,2,"[""2"", ""1""]",1.0,2.0,
QN26,floating,20103,240,0.011939,2,"[""1"", ""2""]",1.0,2.0,
QN27,floating,20103,436,0.021688,2,"[""2"", ""1""]",1.0,2.0,
QN28,floating,20103,1737,0.086405,2,"[""2"", ""1""]",1.0,2.0,
QN29,floating,20103,767,0.038154,2,"[""2"", ""1""]",1.0,2.0,
QN30,floating,20103,5468,0.271999,2,"[""2"", ""1""]",1.0,2.0,
QN31,floating,20103,2661,0.132368,2,"[""2"", ""1""]",1.0,2.0,
QN32,floating,20103,3283,0.163309,2,"[""2"", ""1""]",1.0,2.0,
QN33,floating,20103,364,0.018107,2,"[""2"", ""1""]",1.0,2.0,
QN34,floating,20103,19580,0.973984,2,"[""2"", ""1""]",1.0,2.0,extreme_sparsity;high_missingness
QN35,floating,20103,299,0.014873,2,"[""2"", ""1""]",1.0,2.0,
QN36,floating,20103,1012,0.050341,2,"[""2"", ""1""]",1.0,2.0,
QN37,floating,20103,17457,0.868378,2,"[""2"", ""1""]",1.0,2.0,high_missingness
QN38,floating,20103,1180,0.058698,2,"[""2"", ""1""]",1.0,2.0,
QN39,floating,20103,1161,0.057753,2,"[""2"", ""1""]",1.0,2.0,
QN40,floating,20103,15766,0.784261,2,"[""2"", ""1""]",1.0,2.0,high_missingness
QN41,floating,20103,855,0.042531,2,"[""2"", ""1""]",1.0,2.0,
QN42,floating,20103,901,0.044819,2,"[""2"", ""1""]",1.0,2.0,
QN43,floating,20103,4662,0.231906,2,"[""2"", ""1""]",1.0,2.0,
QN44,floating,20103,5689,0.282993,2,"[""2"", ""1""]",1.0,2.0,
QN45,floating,20103,17077,0.849475,2,"[""2"", ""1""]",1.0,2.0,high_missingness
QN46,floating,20103,3500,0.174103,2,"[""2"", ""1""]",1.0,2.0,
QN47,floating,20103,864,0.042979,2,"[""2"", ""1""]",1.0,2.0,
QN48,floating,20103,503,0.025021,2,"[""2"", ""1""]",1.0,2.0,
QN49,floating,20103,576,0.028652,2,"[""1"", ""2""]",1.0,2.0,
QN50,floating,20103,3256,0.161966,2,"[""2"", ""1""]",1.0,2.0,
QN51,floating,20103,5877,0.292344,2,"[""2"", ""1""]",1.0,2.0,
QN52,floating,20103,781,0.03885,2,"[""2"", ""1""]",1.0,2.0,
QN53,floating,20103,1122,0.055813,2,"[""2"", ""1""]",1.0,2.0,
QN54,floating,20103,3608,0.179476,2,"[""2"", ""1""]",1.0,2.0,
QN55,floating,20103,5006,0.249018,2,"[""2"", ""1""]",1.0,2.0,
QN56,floating,20103,3982,0.19808,2,"[""2"", ""1""]",1.0,2.0,
QN57,floating,20103,1530,0.076108,2,"[""2"", ""1""]",1.0,2.0,
QN58,floating,20103,2458,0.12227,2,"[""2"", ""1""]",1.0,2.0,
QN59,floating,20103,1764,0.087748,2,"[""2"", ""1""]",1.0,2.0,
QN60,floating,20103,16526,0.822066,2,"[""2"", ""1""]",1.0,2.0,high_missingness
QN61,floating,20103,16194,0.805551,2,"[""1"", ""2""]",1.0,2.0,high_missingness
QN62,floating,20103,16614,0.826444,2,"[""1"", ""2""]",1.0,2.0,high_missingness
QN66,floating,20103,8308,0.413272,2,"[""2"", ""1""]",1.0,2.0,
QN67,floating,20103,6167,0.30677,2,"[""1"", ""2""]",1.0,2.0,
QN68,floating,20103,3495,0.173855,2,"[""2"", ""1""]",1.0,2.0,
QN69,floating,20103,1076,0.053524,2,"[""2"", ""1""]",1.0,2.0,
QN70,floating,20103,4767,0.237129,2,"[""1"", ""2""]",1.0,2.0,
QN71,floating,20103,4858,0.241655,2,"[""1"", ""2""]",1.0,2.0,
QN72,floating,20103,4827,0.240113,2,"[""1"", ""2""]",1.0,2.0,
QN73,floating,20103,4891,0.243297,2,"[""1"", ""2""]",1.0,2.0,
QN74,floating,20103,4920,0.24474,2,"[""2"", ""1""]",1.0,2.0,
QN75,floating,20103,5835,0.290255,2,"[""2"", ""1""]",1.0,2.0,
QN76,floating,20103,1227,0.061036,2,"[""2"", ""1""]",1.0,2.0,
QN77,floating,20103,6227,0.309755,2,"[""1"", ""2""]",1.0,2.0,
QN78,floating,20103,7139,0.355121,2,"[""1"", ""2""]",1.0,2.0,
QN79,floating,20103,4594,0.228523,2,"[""2"", ""1""]",1.0,2.0,
QN80,floating,20103,4900,0.243745,2,"[""1"", ""2""]",1.0,2.0,
QN81,floating,20103,4584,0.228026,2,"[""2"", ""1""]",1.0,2.0,
QN82,floating,20103,7325,0.364373,2,"[""2"", ""1""]",1.0,2.0,
QN83,floating,20103,2179,0.108392,2,"[""1"", ""2""]",1.0,2.0,
QN84,floating,20103,4398,0.218773,2,"[""2"", ""1""]",1.0,2.0,
QN85,floating,20103,2662,0.132418,2,"[""2"", ""1""]",1.0,2.0,
QN86,floating,20103,5562,0.276675,2,"[""2"", ""1""]",1.0,2.0,
QN87,floating,20103,3568,0.177486,2,"[""2"", ""1""]",1.0,2.0,
QN88,floating,20103,6280,0.312391,2,"[""2"", ""1""]",1.0,2.0,
QN89,floating,20103,6183,0.307566,2,"[""2"", ""1""]",1.0,2.0,
QN90,floating,20103,6186,0.307715,2,"[""2"", ""1""]",1.0,2.0,
QN91,floating,20103,6350,0.315873,2,"[""2"", ""1""]",1.0,2.0,
QN92,floating,20103,7722,0.384122,2,"[""1"", ""2""]",1.0,2.0,
QN93,floating,20103,8932,0.444312,2,"[""2"", ""1""]",1.0,2.0,
QN94,floating,20103,14611,0.726807,2,"[""1"", ""2""]",1.0,2.0,high_missingness
QN95,floating,20103,8194,0.407601,2,"[""2"", ""1""]",1.0,2.0,
QN96,floating,20103,6519,0.32428,2,"[""2"", ""1""]",1.0,2.0,
QN97,floating,20103,8906,0.443018,2,"[""2"", ""1""]",1.0,2.0,
QN98,floating,20103,9315,0.463364,2,"[""1"", ""2""]",1.0,2.0,
QN99,floating,20103,4353,0.216535,2,"[""2"", ""1""]",1.0,2.0,
QN100,floating,20103,6876,0.342039,2,"[""2"", ""1""]",1.0,2.0,
QN101,floating,20103,6798,0.338158,2,"[""1"", ""2""]",1.0,2.0,
QN102,floating,20103,6761,0.336318,2,"[""2"", ""1""]",1.0,2.0,
QN103,floating,20103,8926,0.444013,2,"[""2"", ""1""]",1.0,2.0,
QN104,floating,20103,9253,0.46028,2,"[""2"", ""1""]",1.0,2.0,
QN105,floating,20103,9520,0.473561,2,"[""2"", ""1""]",1.0,2.0,
QN106,floating,20103,9157,0.455504,2,"[""2"", ""1""]",1.0,2.0,
QN107,floating,20103,9308,0.463015,2,"[""1"", ""2""]",1.0,2.0,
qnfrcig,floating,20103,364,0.018107,2,"[""2"", ""1""]",1.0,2.0,
qndaycig,floating,20103,364,0.018107,2,"[""2"", ""1""]",1.0,2.0,
qnfrevp,floating,20103,1012,0.050341,2,"[""2"", ""1""]",1.0,2.0,
qndayevp,floating,20103,1012,0.050341,2,"[""2"", ""1""]",1.0,2.0,
qnfrskl,floating,20103,1180,0.058698,2,"[""2"", ""1""]",1.0,2.0,
qndayskl,floating,20103,1180,0.058698,2,"[""2"", ""1""]",1.0,2.0,
qnfrcgr,floating,20103,1161,0.057753,2,"[""2"", ""1""]",1.0,2.0,
qndaycgr,floating,20103,1161,0.057753,2,"[""2"", ""1""]",1.0,2.0,
qntb2,floating,20103,1404,0.06984,2,"[""2"", ""1""]",1.0,2.0,
qntb3,floating,20103,1560,0.0776,2,"[""2"", ""1""]",1.0,2.0,
