subgroup_var,subgroup_value,n,n_pos,n_neg,roc_auc,brier,calibration_slope,roc_auc_defined_flag,slope_defined_flag,low_slope_flag,high_error_flag,seed,overall_brier,MIN_GROUP_POS,MIN_GROUP_NEG,MIN_GROUP_N,MIN_GROUP_EVENTRATE
q2,<NA>,29,10,19,,0.18750232186694338,,False,False,False,False,2026,0.20617800472081335,20,20,200,
q2,cat_1,1933,1027,906,0.6813464708929543,0.22336272533243787,1.1727180900230665,True,True,False,False,2026,0.20617800472081335,20,20,200,
q2,cat_2,2011,585,1426,0.6448178516200956,0.18992913841573728,0.9776261145741131,True,True,False,False,2026,0.20617800472081335,20,20,200,
raceeth,<NA>,71,23,48,0.6807065217391305,0.2006541194623372,0.87193488133069,True,True,False,False,2026,0.20617800472081335,20,20,200,
raceeth,cat_1,270,136,134,0.7683000438981562,0.20006395842330674,1.4310378434252153,True,True,False,False,2026,0.20617800472081335,20,20,200,
raceeth,cat_2,203,57,146,0.7306536890170632,0.1755787846655866,1.251004872421572,True,True,False,False,2026,0.20617800472081335,20,20,200,
raceeth,cat_3,331,120,211,0.7421800947867299,0.19017674526788203,1.4345959997671947,True,True,False,False,2026,0.20617800472081335,20,20,200,
raceeth,cat_4,17,4,13,,0.1709931582794488,,False,False,False,False,2026,0.20617800472081335,20,20,200,
raceeth,cat_5,1929,779,1150,0.7026114862979292,0.20918640327957763,0.9682185985574872,True,True,False,False,2026,0.20617800472081335,20,20,200,
raceeth,cat_6,243,90,153,0.7110021786492375,0.19658473335402285,1.2546995642706016,True,True,False,False,2026,0.20617800472081335,20,20,200,
raceeth,cat_7,545,252,293,0.6772712497968472,0.22256183325463805,0.8766217666781443,True,True,False,False,2026,0.20617800472081335,20,20,200,
raceeth,cat_8,364,161,203,0.7275647890340543,0.21098011149183657,0.9968560937266646,True,True,False,False,2026,0.20617800472081335,20,20,200,
