value,count,proportion
4.5952,47,0.0235
3.7735,41,0.0205
0.0033,40,0.02
3.9913,38,0.019
2.0649,30,0.015
1.891,29,0.0145
2.3857,29,0.0145
3.7499,29,0.0145
3.9469,28,0.014
3.4912,27,0.0135
3.7576,27,0.0135
4.6542,26,0.013
0.7671,25,0.0125
3.7522,25,0.0125
3.8405,24,0.012
1.2136,21,0.0105
1.3677,21,0.0105
3.6828,21,0.0105
3.696,21,0.0105
0.3172,20,0.01
2.0271,20,0.01
3.6324,20,0.01
3.9718,20,0.01
1.7928,19,0.0095
1.8206,19,0.0095
3.7273,19,0.0095
3.7989,19,0.0095
0.0155,18,0.009
0.0089,17,0.0085
0.1803,17,0.0085
0.5081,17,0.0085
0.8148,17,0.0085
2.8364,17,0.0085
3.1611,17,0.0085
4.0009,17,0.0085
0.007,16,0.008
0.3666,16,0.008
3.4161,16,0.008
3.4617,16,0.008
3.899,16,0.008
0.4727,15,0.0075
0.7872,15,0.0075
2.0042,15,0.0075
2.9757,15,0.0075
1.9119,14,0.007
2.1328,14,0.007
3.303,14,0.007
0.0085,13,0.0065
0.2415,13,0.0065
1.1726,13,0.0065
1.6999,13,0.0065
1.7003,13,0.0065
2.7282,13,0.0065
3.9575,13,0.0065
4.1357,13,0.0065
0.2436,12,0.006
0.8614,12,0.006
1.6889,12,0.006
1.9161,12,0.006
2.257,12,0.006
2.6814,12,0.006
0.3516,11,0.0055
2.5383,11,0.0055
3.3661,11,0.0055
3.5581,11,0.0055
0.2233,10,0.005
0.7032,10,0.005
0.7262,10,0.005
0.7834,10,0.005
0.8453,10,0.005
1.0225,10,0.005
1.718,10,0.005
1.764,10,0.005
2.8997,10,0.005
3.03,10,0.005
0.2291,9,0.0045
0.3029,9,0.0045
0.5503,9,0.0045
0.892,9,0.0045
1.2804,9,0.0045
1.5831,9,0.0045
1.8136,9,0.0045
2.3548,9,0.0045
4.0651,9,0.0045
0.306,8,0.004
0.3633,8,0.004
0.3644,8,0.004
0.372,8,0.004
0.1715,7,0.0035
0.1773,7,0.0035
0.4324,7,0.0035
0.6636,7,0.0035
0.9362,7,0.0035
1.2761,7,0.0035
2.7848,7,0.0035
2.8899,7,0.0035
3.0684,7,0.0035
3.2737,7,0.0035
3.3889,7,0.0035
3.3985,7,0.0035
3.4229,7,0.0035
3.667,7,0.0035
3.7818,7,0.0035
4.1508,7,0.0035
0.0365,6,0.003
0.1285,6,0.003
0.2548,6,0.003
0.2724,6,0.003
1.3114,6,0.003
2.0125,6,0.003
2.7738,6,0.003
2.8423,6,0.003
3.122,6,0.003
3.1876,6,0.003
3.5628,6,0.003
0.0331,5,0.0025
0.2277,5,0.0025
0.2417,5,0.0025
0.3667,5,0.0025
0.3736,5,0.0025
0.391,5,0.0025
0.5206,5,0.0025
0.5599,5,0.0025
0.7896,5,0.0025
0.9514,5,0.0025
1.1759,5,0.0025
1.46,5,0.0025
1.7727,5,0.0025
1.8724,5,0.0025
2.9463,5,0.0025
3.0761,5,0.0025
0.1488,4,0.002
0.164,4,0.002
0.24,4,0.002
0.2636,4,0.002
0.442,4,0.002
1.3464,4,0.002
1.5602,4,0.002
1.9861,4,0.002
2.219,4,0.002
2.4251,4,0.002
2.7798,4,0.002
3.5658,4,0.002
3.5762,4,0.002
3.5862,4,0.002
3.7701,4,0.002
0.0311,3,0.0015
0.044,3,0.0015
0.0893,3,0.0015
0.1522,3,0.0015
0.2208,3,0.0015
0.2711,3,0.0015
0.2966,3,0.0015
0.3935,3,0.0015
0.8025,3,0.0015
0.8835,3,0.0015
1.1261,3,0.0015
1.2463,3,0.0015
1.3864,3,0.0015
1.3977,3,0.0015
1.5121,3,0.0015
1.5395,3,0.0015
1.5748,3,0.0015
2.0764,3,0.0015
2.4668,3,0.0015
2.5055,3,0.0015
3.0515,3,0.0015
3.7817,3,0.0015
4.1748,3,0.0015
0.0095,2,0.001
0.028,2,0.001
0.035,2,0.001
0.0457,2,0.001
0.0526,2,0.001
0.0596,2,0.001
0.1067,2,0.001
0.2153,2,0.001
0.2337,2,0.001
0.2692,2,0.001
0.3375,2,0.001
0.3668,2,0.001
0.3931,2,0.001
0.457,2,0.001
0.5775,2,0.001
0.6414,2,0.001
0.6556,2,0.001
0.7015,2,0.001
0.7468,2,0.001
0.7933,2,0.001
0.816,2,0.001
0.8195,2,0.001
0.8993,2,0.001
1.1368,2,0.001
1.1837,2,0.001
1.3645,2,0.001
1.385,2,0.001
1.413,2,0.001
1.429,2,0.001
1.4481,2,0.001
1.6277,2,0.001
1.6722,2,0.001
1.85,2,0.001
2.0133,2,0.001
2.0184,2,0.001
3.2983,2,0.001
3.3881,2,0.001
3.565,2,0.001
0.0178,1,0.0005
0.02,1,0.0005
0.026,1,0.0005
0.0278,1,0.0005
